user_id,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms),1,3,4
213,363.02956,62.98,38.44,2.24,169.21,2405,104.65,1700,0,0,1
214,284.92713,2969.94,485.06,0.72,6676.22,1902,2810.91,148,0,0,0
215,112.98534,895.57,103.75,1.6,3213.02,2024,1285.47,359,0,0,0
216,481.88024,2530.62,85.08,2.02,6548.83,1738,3655.39,123,0,0,0
217,385.69806,383.06,122.21,0.79,2868.84,2598,1657.11,189,0,0,1
218,726.16407,786.24,48.21,1.01,3141.42,2227,1883.12,104,0,0,0
219,717.16687,1732.61,132.59,3.9,4526.04,1275,2091.13,133,0,1,0
220,449.07227,115.41,86.67,1.52,725.42,3281,321.65,675,1,0,0
221,184.87969,1051.22,125.07,4.52,4276.76,1828,1072.95,312,1,1,1
222,847.07949,2716.56,493.14,0.44,14998.4,1095,4836.47,81,0,0,0
223,776.94379,1613.28,50.79,1.68,1011.16,1951,1619.05,269,0,0,0
224,203.80059,1026.93,21.19,0.79,5003.03,1939,1657.97,164,0,0,0
225,236.49097,754.91,22.11,2.84,1160.56,1891,24115.95,90,0,0,1
226,255.70733,4585.0,243.65,1.25,7509.52,1214,2396.02,62,0,0,0
227,306.83406,2687.81,152.49,1.6,10647.16,1177,5624.71,554,0,0,0
228,723.57369,580.97,35.54,1.04,5321.19,1246,3456.08,70,0,0,0
229,814.81969,3789.56,80.5,1.25,5156.7,1408,1584.12,138,0,0,1
230,318.28273,4269.62,97.93,0.85,6019.44,1299,1549.4,104,0,0,0
231,254.24204,3154.08,80.86,1.04,4056.44,2402,2768.65,132,1,1,1
232,190.85699,369.7,57.54,6.16,533.56,4737,565.0,98,0,0,0
233,290.33203,625.85,150.38,4.22,4904.43,1792,1797.12,101,0,0,0
234,118.71639,1115.48,92.2,1.69,381.33,1303,460.19,612,1,0,1
235,147.8762,35.51,81.28,0.31,2380.27,2103,1399.22,131,1,1,1
236,251.19062,124.06,33.81,1.54,1173.08,1916,574.25,398,0,0,0
237,154.98348,164.9,97.51,1.55,2543.58,2293,447.24,156,1,1,0
238,621.83723,2192.37,157.69,0.87,4176.94,1144,1245.06,119,0,1,1
240,186.12718,178.52,23.43,5.2,869.52,6629,384.49,633,0,1,1
241,194.35922,147.33,34.81,1.04,3959.31,1094,605.25,131,0,0,0
242,827.37286,1307.17,184.17,1.17,4638.82,1607,2753.15,95,0,0,0
243,474.56899,420.24,76.88,0.98,1362.31,1844,315.87,440,0,0,0
244,692.54495,3773.11,271.06,0.45,7169.49,1909,3312.53,56,0,1,0
245,170.21742,1911.49,78.78,0.54,3782.82,1499,2615.93,66,0,0,0
247,207.27389,7233.92,261.12,5.26,21961.97,3946,2350.1,163,1,0,0
248,588.55555,1880.59,324.26,1.0,3862.98,1843,1533.14,154,0,0,0
249,288.60334,444.94,77.47,0.78,2547.96,2105,897.65,442,0,0,0
250,443.32777,416.97,95.64,1.04,688.35,4031,608.39,397,1,0,1
251,100.47952,265.43,102.99,1.98,945.83,12937,2198.83,147,0,1,0
252,138.54994,2908.94,327.58,0.38,10651.96,1227,3454.95,72,0,0,0
253,143.67331,1082.58,33.29,1.3,6116.81,1762,4358.78,91,1,0,0
254,336.7862,1314.03,152.49,1.8,16156.36,1216,912.0,182,0,0,1
255,468.37611,4629.74,122.52,1.15,13305.8,1269,1908.89,63,0,0,1
256,454.63951,1279.38,32.75,1.3,5131.74,3045,2580.22,126,1,0,0
257,804.13249,1461.58,207.65,0.86,6572.46,1218,3305.0,71,0,0,0
258,138.80866,1010.71,38.36,2.39,7498.67,2402,783.8,58,0,0,0
259,500.84506,676.48,53.71,1.06,7971.83,1471,3917.25,71,0,0,0
260,385.32605,478.18,88.24,3.01,1015.12,5846,1122.29,260,0,0,0
261,881.53817,1148.53,113.26,8.59,1542.77,2958,846.65,133,0,0,0
262,578.79223,11746.28,156.18,0.18,26367.73,984,1977.63,67,1,0,1
263,459.24354,571.91,391.69,3.52,4001.96,2630,1105.85,192,0,0,1
264,416.7602,1140.19,153.13,2.59,1602.37,6624,1393.92,81,0,0,0
265,165.44489,2480.0,164.28,0.29,5436.22,1134,1644.98,135,0,0,0
266,259.4382,4471.92,213.39,0.91,5867.0,1668,1899.41,143,0,0,0
267,107.10074,1132.86,237.18,2.78,1922.66,1200,1101.0,98,0,1,1
268,592.07883,5918.64,120.15,0.45,7408.84,1201,1120.81,90,0,1,0
